A000167,A000272,B000017,B000049,B000249,B000488,B000660,B000697,B000802,B000942,B001194,C000005,C000091,C000406,C000487,C000531,C000671,C001026,C001033,D000024,D000075,D000138,D000151,D000243,D000333,E000014,E000153,E000154,E000230,F000297,F000322,G000183,G000248,G000394,G000442,G000488,G000502,H000161,H000331,H000464,H000470,H000475,H000570,H000574,H000611,H000699,H000718,H000735,H000915,H000976,J000012,J000123,J000258,L000229,L000482,M000034,M000259,M000649,M000712,M000831,M000919,M000983,M000988,M001039,N000058,N000078,N000100,P000190,P000231,P000378,R000047,R000093,R000553,S000330,S000508,S000557,S000564,S000566,S000570,S000582,S000609,S000685,S000752,S000794,S000800,S000805,S000912,S000994,T000025,T000027,T000029,T000127,T000143,T000163,T000213,T000273,T000368,T000370,U000022,V000022,V000045,V000049,V000054,V000074,W000014,W000046,W000526,W000534,W000637,W000722,W000786,date,isAmendment,requires,result,title,billTitle,committee,officialTitle,sponsor
Yea,Not Voting,Nay,Not Voting,Yea,Yea,Yea,,Not Voting,Yea,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,,Yea,Yea,Nay,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,,Yea,Not Voting,Not Voting,Nay,Yea,Not Voting,Yea,,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Nay,Yea,Not Voting,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,,1801-12-21,0,,unknown,,,,,
Yea,Nay,Nay,Nay,Yea,Nay,Yea,,Not Voting,Nay,Nay,Not Voting,Yea,Nay,Nay,Not Voting,Nay,Yea,Nay,Yea,Yea,Nay,Not Voting,Yea,Not Voting,,Nay,Nay,Nay,Yea,Not Voting,Not Voting,Yea,Not Voting,Nay,Yea,Yea,Nay,Not Voting,Nay,Yea,Not Voting,Nay,Nay,Yea,Nay,Nay,Nay,Yea,,Nay,Not Voting,Nay,Nay,Yea,Not Voting,Yea,,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Not Voting,Nay,Yea,Yea,Not Voting,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Not Voting,Not Voting,Yea,,1802-01-06,0,,unknown,hr1,,,,
Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Nay,Yea,Not Voting,Yea,Not Voting,,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Not Voting,Not Voting,Yea,,1802-01-07,0,,unknown,hr1,,,,
Nay,Nay,Nay,Nay,Not Voting,Nay,Not Voting,,Not Voting,Nay,Nay,Not Voting,Yea,Nay,Nay,Nay,Nay,Not Voting,Nay,Yea,Yea,Nay,Not Voting,Not Voting,Not Voting,,Nay,Nay,Not Voting,Yea,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Nay,Yea,Nay,Nay,Nay,Yea,,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Yea,,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Not Voting,Nay,Not Voting,Yea,Not Voting,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Not Voting,Not Voting,Nay,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,,1802-01-07,0,,unknown,,,,,
Yea,Yea,Nay,Yea,Not Voting,Yea,Not Voting,,Not Voting,Yea,Yea,Not Voting,Nay,Yea,Yea,Yea,Yea,Not Voting,Yea,Nay,Nay,Yea,Not Voting,Not Voting,Not Voting,,Yea,Nay,Not Voting,Nay,Not Voting,Not Voting,Nay,Not Voting,Yea,Nay,Nay,Yea,Not Voting,Yea,Not Voting,Not Voting,Nay,Yea,Not Voting,Yea,Yea,Yea,Yea,,Yea,Not Voting,Yea,Yea,Nay,Not Voting,Nay,,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Not Voting,Yea,Not Voting,Nay,Not Voting,Yea,Yea,Nay,Yea,Yea,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Nay,Nay,Nay,Not Voting,Not Voting,Not Voting,,1802-01-07,0,,unknown,,,,,
Nay,Nay,Nay,Nay,Yea,Nay,Yea,,Not Voting,Nay,Nay,Not Voting,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Not Voting,Yea,Not Voting,,Nay,Nay,Yea,Yea,Nay,Not Voting,Yea,Not Voting,Nay,Yea,Yea,Not Voting,Yea,Nay,Yea,Not Voting,Nay,Nay,Not Voting,Yea,Nay,Not Voting,Yea,,Nay,Nay,Nay,Nay,Yea,Not Voting,Yea,,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Not Voting,Nay,Yea,Yea,Not Voting,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Not Voting,Nay,Yea,Nay,Yea,Yea,Yea,Not Voting,Not Voting,Yea,,1802-01-12,0,,unknown,,,,,
Yea,Not Voting,Nay,Not Voting,Yea,Nay,Not Voting,,Not Voting,Nay,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Not Voting,Nay,Nay,Yea,Yea,Not Voting,Nay,Yea,Not Voting,Yea,,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Nay,,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Not Voting,Not Voting,Nay,Nay,Not Voting,Yea,Yea,Nay,Yea,Yea,Nay,Not Voting,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Nay,,1802-01-19,0,,unknown,hr2,,,,
Yea,Not Voting,Nay,Nay,Yea,Nay,Not Voting,,Nay,Nay,Yea,Not Voting,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,,Nay,Yea,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Nay,,Nay,Nay,Nay,Nay,Yea,Not Voting,Yea,,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Not Voting,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Not Voting,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Not Voting,Nay,Yea,Yea,Not Voting,Not Voting,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Not Voting,Nay,Not Voting,Nay,Yea,Not Voting,Not Voting,Nay,,1802-01-20,0,,unknown,hr7,,,,
Nay,Not Voting,Nay,Nay,Yea,Nay,Not Voting,,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Not Voting,Nay,,Nay,Nay,Yea,Not Voting,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Not Voting,Nay,Nay,Yea,Yea,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Not Voting,,Nay,Yea,Nay,Nay,Yea,Not Voting,Nay,,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Not Voting,Yea,Not Voting,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Not Voting,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Not Voting,Nay,Not Voting,Not Voting,Nay,Yea,Yea,Not Voting,Not Voting,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Yea,Yea,Not Voting,Not Voting,Not Voting,,1802-01-21,0,,unknown,hr7,,,,
Yea,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,,Yea,Yea,Yea,Yea,Yea,Not Voting,Nay,,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Not Voting,Yea,Nay,Not Voting,Nay,Yea,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Not Voting,Not Voting,Yea,,1802-01-21,0,,unknown,hr7,,,,
