B000226,B000745,B000929,B001133,B001186,C000009,C000185,D000324,E000075,E000147,F000100,F000313,G000526,H000368,H000508,I000053,J000198,K000212,L000067,L000201,M000858,M000985,P000473,R000091,R000350,R000550,S000349,S000805,S001009,T000086,W000633,date,isAmendment,requires,result,title,billTitle,committee,officialTitle,sponsor
Not Voting,Yea,,Yea,Nay,Yea,Not Voting,Nay,,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Not Voting,Nay,Nay,,Yea,Yea,Yea,Nay,Nay,Nay,,Nay,1791-12-07,0,,unknown,,,,,unknown
Not Voting,Nay,,Nay,Nay,Yea,Not Voting,Nay,,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Not Voting,Nay,Nay,,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,1791-12-07,0,,unknown,,,,,unknown
Not Voting,Yea,,Yea,Nay,Yea,Not Voting,Nay,,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Not Voting,Nay,Nay,,Nay,Yea,Nay,Yea,Nay,Yea,,Yea,1791-12-07,0,,unknown,,,,,unknown
Not Voting,Nay,,Nay,Yea,Nay,Not Voting,Yea,,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Not Voting,Yea,Yea,,Yea,Nay,Nay,Nay,Yea,Nay,,Nay,1791-12-07,0,,unknown,,,,,unknown
Not Voting,Yea,,Nay,Nay,Yea,Not Voting,Nay,,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Not Voting,Nay,Nay,,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,1791-12-08,0,,unknown,,,,,unknown
Not Voting,Yea,,Nay,Nay,Yea,Not Voting,Nay,,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Not Voting,Nay,Nay,,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,1791-12-08,0,,unknown,,,,,unknown
Not Voting,Nay,,Yea,Yea,Nay,Not Voting,Yea,,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Not Voting,Yea,Yea,,Nay,Nay,Nay,Nay,Nay,Nay,,Nay,1791-12-15,0,,unknown,,,,,unknown
Not Voting,Yea,,Nay,Nay,Yea,Not Voting,Nay,,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Not Voting,Nay,Nay,,Nay,Yea,Yea,Yea,Yea,Yea,,Yea,1791-12-20,0,,unknown,,,,,unknown
Not Voting,Nay,,Nay,Yea,Yea,Yea,Yea,,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Nay,Yea,Nay,Yea,Nay,,Nay,1792-01-06,0,,unknown,,,,,unknown
Yea,Nay,,Yea,Nay,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,1792-01-10,0,,unknown,,,,,unknown
Yea,Yea,,Nay,Yea,Nay,Yea,Yea,,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,,Yea,Nay,Yea,Nay,Nay,Nay,,Nay,1792-01-12,0,,unknown,,,,,unknown
Yea,Nay,,Nay,Yea,Yea,Yea,Yea,,Yea,Nay,Nay,Not Voting,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Yea,,Yea,Nay,Nay,Nay,Nay,Nay,,Nay,1792-01-16,0,,unknown,,,,,unknown
