A000041,A000197,A000282,B000049,B000084,B000249,B000745,B000787,B000929,B001186,C000525,C000572,C000671,D000165,E000114,F000344,G000005,G000183,H000618,H000870,J000017,L000401,M000029,M000226,M000831,M000891,N000086,O000060,P000324,P000393,P000468,S000557,S000566,S000567,S000609,S000955,S001073,T000086,T000348,V000083,W000287,W000392,W000750,W000768,date,isAmendment,requires,result,title,billTitle,committee,officialTitle,sponsor
Not Voting,Yea,,Yea,Yea,,Yea,Yea,Yea,Not Voting,Yea,,Yea,Yea,Yea,,Yea,,Nay,Yea,Yea,,Yea,,,Yea,Yea,Nay,Nay,Nay,Yea,Yea,,Yea,Yea,Yea,,,Nay,Yea,Nay,Nay,Yea,Yea,1803-10-20,0,,unknown,,,,,unknown
Nay,Yea,,Yea,Yea,,Yea,Yea,Yea,Not Voting,Not Voting,,Yea,Yea,Yea,,Yea,,Nay,Yea,Yea,Yea,Yea,,,Yea,Yea,Nay,Nay,Nay,Yea,Yea,,Yea,Yea,Yea,,,Nay,Yea,Yea,Yea,Yea,Yea,1803-10-26,0,,unknown,,,,,unknown
Nay,Yea,,Yea,Yea,,Yea,Yea,Yea,Not Voting,Not Voting,,Yea,Nay,Yea,,Yea,,Nay,Yea,Yea,Nay,Yea,,,Yea,Yea,Nay,Nay,Nay,Yea,Nay,,Yea,Yea,Yea,,,Nay,Not Voting,Nay,Yea,Yea,Yea,1803-10-31,0,,unknown,,,,,unknown
Yea,Yea,,Yea,Yea,,Yea,Yea,Yea,Not Voting,Not Voting,,Yea,Yea,Yea,,Yea,,Nay,Yea,Yea,Yea,Yea,,,Yea,Yea,Yea,Nay,Yea,Yea,Yea,,Yea,Not Voting,Yea,,,Nay,Yea,Nay,Nay,Yea,Yea,1803-11-03,0,,unknown,,,,,unknown
Nay,Nay,,Nay,Yea,,Yea,Nay,Nay,Not Voting,Not Voting,,Nay,Yea,Nay,,Yea,,Nay,Yea,Yea,Nay,Yea,,,Nay,Nay,Nay,Nay,Nay,Nay,Nay,,Nay,Not Voting,Nay,,,Nay,Nay,Yea,Yea,Nay,Nay,1803-11-04,0,,unknown,,,,,unknown
Yea,Nay,,Nay,Nay,,Yea,Nay,Nay,Not Voting,Not Voting,,Nay,Yea,Yea,,Yea,,Yea,Nay,Nay,Not Voting,Nay,,,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Not Voting,Nay,,,Yea,Nay,Yea,Yea,Nay,Nay,1803-11-04,0,,unknown,,,,,unknown
Nay,Nay,,Nay,Nay,,Yea,Nay,Nay,Not Voting,,,Nay,Yea,Nay,,Yea,,Yea,Nay,Nay,Nay,Nay,,,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Not Voting,Nay,,,Yea,Nay,Yea,Yea,Nay,Nay,1803-11-14,0,,unknown,,,,,unknown
Nay,Nay,,Nay,Nay,,Yea,Nay,Nay,Not Voting,,,Nay,Yea,Nay,,Yea,,Yea,Nay,Nay,Nay,Nay,,,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Not Voting,Nay,,,Yea,Nay,Yea,Yea,Nay,Nay,1803-11-14,0,,unknown,,,,,unknown
Yea,Yea,,Yea,Yea,,Yea,Yea,Yea,Not Voting,,,Yea,Not Voting,Yea,,Yea,,Yea,Yea,Yea,Yea,Yea,,,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,,,Yea,Yea,Yea,Not Voting,Yea,Yea,1803-11-16,0,,unknown,,,,,unknown
Yea,Yea,,Yea,Yea,,Yea,Yea,Yea,Not Voting,,,Yea,Yea,Yea,,Yea,,Yea,Yea,Yea,Yea,Yea,,,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,,,Yea,Yea,Yea,Yea,Yea,Yea,1803-11-16,0,,unknown,,,,,unknown
