S057,S118,S127,S131,S136,S153,S166,S172,S173,S174,S176,S182,S184,S197,S198,S212,S221,S223,S229,S236,S247,S252,S253,S254,S257,S258,S259,S260,S261,S266,S270,S275,S277,S282,S284,S287,S288,S289,S290,S293,S295,S299,S300,S301,S303,S305,S306,S307,S308,S309,S310,S311,S312,S313,S314,S316,S317,S318,S319,S320,S321,S322,S323,S324,S325,S326,S327,S330,S331,S332,S337,S338,S339,S340,S341,S342,S343,S344,S345,S346,S347,S348,S349,S350,S351,S352,S353,S354,S355,S356,S357,S358,S359,S360,S361,S362,S363,S364,S365,S366,S367,S368,S369,S370,S371,date,isAmendment,requires,result,title
Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Nay,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,,,,,,2013-01-24T19:54:00-05:00,0,0.6,"Resolution Agreed to (78-16, 3/5 majority required)",sres15
Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,,,,,,2013-01-24T20:20:00-05:00,0,0.666666666667,"Resolution Agreed to (86-9, 2/3 majority required)",sres16
Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Not Voting,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Not Voting,Nay,Yea,Nay,,,,,,2013-01-28T17:39:00-05:00,1,0.6,"Amendment Rejected (35-62, 3/5 majority required)",samdt4 to hr152
Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Not Voting,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Not Voting,Yea,Nay,Yea,,,,,,2013-01-28T18:09:00-05:00,0,0.6,"Bill Passed (62-36, 3/5 majority required)",hr152
Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Not Voting,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Not Voting,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,,,,,,2013-01-31T15:37:00-05:00,0,0.5,Bill Passed (64-34),hr325
Nay,Yea,Nay,Nay,Yea,Yea,Nay,Nay,,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Not Voting,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,,,,,2013-02-07T16:01:00-05:00,1,0.5,Amendment Rejected (34-65),samdt14 to s47
Nay,Yea,Nay,Nay,Not Voting,Yea,Nay,Nay,,Yea,Nay,Nay,Not Voting,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Not Voting,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Not Voting,Yea,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Not Voting,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Nay,Nay,Not Voting,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,,,,,2013-02-11T17:30:00-05:00,1,0.5,Amendment Rejected (31-59),samdt13 to s47
Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,,,,2013-02-12T11:31:00-05:00,1,0.5,Amendment Agreed to (93-5),samdt21 to s47
Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,,,,2013-02-12T11:59:00-05:00,1,0.5,Amendment Agreed to (100-0),samdt10 to s47
Nay,Yea,Nay,Nay,Yea,Yea,Nay,Nay,,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Not Voting,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,,,,,2013-02-12T12:19:00-05:00,1,0.5,Amendment Rejected (46-53),samdt15 to s47
