A000317,B000127,B000192,B000434,B000921,C000083,C000325,C000671,D000002,D000024,F000389,G000005,G000264,G000322,H000176,H000186,H000225,H000795,H000865,H000991,K000212,L000011,M000034,M000213,M000217,M001003,N000118,R000313,R000500,S000052,S000628,S000949,T000015,T000017,T000085,T000102,T000220,T000264,T000382,T000423,V000074,W000287,W000516,W000595,date,isAmendment,requires,result,title
,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Not Voting,,,,Yea,Yea,Yea,Yea,Yea,Yea,,Not Voting,Yea,,Yea,Yea,Yea,,,Yea,Not Voting,Yea,,Yea,Yea,,Yea,Yea,Not Voting,Yea,Yea,1815-12-19,0,,unknown,
,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Not Voting,,,,Yea,Yea,Yea,Yea,Yea,Yea,,Not Voting,Yea,,Yea,Yea,Yea,,,Yea,Not Voting,Yea,,Yea,Yea,,Yea,Yea,Not Voting,Yea,Yea,1815-12-19,0,,unknown,
,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Not Voting,,,,Yea,Yea,Yea,Yea,Yea,Yea,,Not Voting,Not Voting,,Yea,Yea,Yea,,,Not Voting,Not Voting,Yea,,Yea,Yea,,Yea,Yea,Not Voting,Not Voting,Yea,1815-12-21,0,,unknown,
,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,,,,Yea,Yea,Yea,Yea,Yea,Yea,,Not Voting,Not Voting,,Yea,Yea,Yea,,,Yea,Not Voting,Yea,,Yea,Yea,,Yea,Not Voting,Not Voting,Yea,Yea,1815-12-21,0,,unknown,
,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,,,,Yea,Yea,Yea,Yea,Yea,Yea,,Not Voting,Yea,,Yea,Yea,Yea,,,Yea,Not Voting,Yea,,Yea,Yea,,Yea,Not Voting,Not Voting,Yea,Yea,1815-12-21,0,,unknown,
,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,,,,Yea,Yea,Yea,Yea,Yea,Yea,,Not Voting,Yea,,Yea,Yea,Yea,,,Yea,Not Voting,Yea,,Yea,Yea,,Yea,Yea,Not Voting,Yea,Yea,1815-12-21,0,,unknown,
,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,,,,Yea,Yea,Yea,Yea,Yea,Yea,,Not Voting,Yea,,Yea,Yea,Yea,,,Yea,Not Voting,Yea,,Yea,Yea,,Yea,Yea,Not Voting,Yea,Yea,1815-12-21,0,,unknown,
,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,,,,Yea,Yea,Yea,Yea,Yea,Yea,,Not Voting,Yea,,Yea,Yea,Yea,,,Yea,Not Voting,Yea,,Yea,Yea,,Yea,Yea,Not Voting,Yea,Yea,1815-12-21,0,,unknown,
,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,,,,Yea,Yea,Yea,Yea,Yea,Yea,,Not Voting,Yea,,Yea,Yea,Yea,,,Yea,Not Voting,Yea,,Yea,Yea,,Yea,Yea,Not Voting,Yea,Yea,1815-12-21,0,,unknown,
,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,,,,Yea,Yea,Yea,Yea,Yea,Yea,,Not Voting,Yea,,Yea,Yea,Yea,,,Yea,Not Voting,Yea,,Yea,Yea,,Yea,Yea,Not Voting,Yea,Yea,1815-12-21,0,,unknown,
