A000317,B000127,B001137,C000083,C000912,D000002,D000024,D000308,E000024,E000078,E000197,F000154,F000284,F000389,G000005,G000264,H000176,H000795,H000991,J000137,K000212,L000011,L000177,M000034,M000636,M000966,M001003,N000118,O000127,P000045,R000313,R000500,S000052,S000628,S000949,S000972,T000015,T000017,T000102,T000171,T000264,T000382,V000037,W000516,W000540,W000595,date,isAmendment,requires,result,title
Not Voting,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Yea,,Not Voting,Not Voting,Yea,,Not Voting,Yea,Yea,Not Voting,Not Voting,Not Voting,,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Not Voting,1817-12-18,0,,unknown,
Not Voting,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,,Not Voting,Yea,Yea,,Not Voting,Yea,Yea,Not Voting,Not Voting,Not Voting,,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Not Voting,1817-12-18,0,,unknown,
Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,,Not Voting,Yea,Yea,,Not Voting,Yea,Yea,Not Voting,Not Voting,Not Voting,,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Not Voting,1817-12-18,0,,unknown,
Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Not Voting,,Not Voting,Yea,Not Voting,,Not Voting,Yea,Yea,Not Voting,Not Voting,Not Voting,,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Not Voting,1817-12-18,0,,unknown,
Nay,Yea,Nay,Yea,Nay,Nay,Not Voting,Nay,,Not Voting,Yea,Nay,,Yea,Yea,Nay,Not Voting,Nay,Nay,,Nay,Yea,Nay,Yea,,Nay,Nay,Nay,Not Voting,,Not Voting,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Nay,Yea,Nay,Not Voting,Not Voting,Yea,1818-01-12,0,,unknown,
Yea,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,,Not Voting,Yea,,,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,,Yea,Yea,Yea,Not Voting,,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,1818-01-13,0,,unknown,
Yea,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,,Not Voting,Yea,,,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,,Yea,Yea,Yea,Not Voting,,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,1818-01-13,0,,unknown,
Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,,Not Voting,Yea,,,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,,Yea,Yea,Yea,Not Voting,,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,1818-01-13,0,,unknown,
Yea,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,,Not Voting,Yea,,,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,,Yea,Yea,Yea,Not Voting,,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,1818-01-13,0,,unknown,
Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,,Not Voting,Nay,,,Nay,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Nay,,Nay,Nay,Nay,Not Voting,,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Nay,Nay,1818-01-13,0,,unknown,
