B000127,B000921,B001137,C000291,D000024,D000308,E000024,E000078,E000124,G000005,H000735,H000739,H000795,H000991,J000137,J000170,K000212,K000217,K000287,L000083,L000177,L000376,L000405,L000485,M000034,M000636,M000774,M000966,N000118,O000127,P000045,P000084,P000362,P000386,R000313,R000500,S000052,S000628,S000689,S000949,T000017,T000102,T000171,T000264,T000377,V000037,W000052,W000061,W000516,W000540,W000595,date,isAmendment,requires,result,title
Nay,Nay,Yea,,Yea,Yea,Nay,Nay,Nay,Nay,,,Yea,Yea,Nay,Nay,Nay,Not Voting,,Yea,Nay,Nay,Nay,Yea,Nay,Yea,,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Nay,,Nay,,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,1820-01-14,0,,unknown,
Nay,Yea,Yea,,Yea,Yea,Yea,Yea,Nay,Nay,,,Yea,Yea,Yea,Not Voting,Not Voting,Yea,,Yea,Nay,Nay,Yea,Nay,Yea,Yea,,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Nay,Nay,Nay,Yea,Nay,,Yea,,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,1820-01-21,0,,unknown,
Yea,Nay,Nay,,Nay,Nay,Nay,Nay,Yea,Yea,,,Nay,Nay,Nay,Nay,Nay,Nay,,Nay,Yea,Yea,Nay,Nay,Nay,Nay,,Nay,Not Voting,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Yea,,Nay,,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Not Voting,1820-01-27,0,,unknown,
Nay,Yea,Yea,,Yea,Yea,Yea,Yea,Nay,Nay,,,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Nay,Nay,Yea,Nay,Yea,Yea,,Yea,Not Voting,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Nay,,Yea,,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Not Voting,1820-01-27,0,,unknown,
Nay,Nay,Yea,,Yea,Yea,Nay,Nay,Nay,Nay,,,Not Voting,Nay,Nay,Nay,Yea,Nay,,Nay,Nay,Nay,Nay,Yea,Nay,Yea,,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Nay,,Nay,,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Yea,1820-02-01,0,,unknown,
Yea,Yea,Nay,,Nay,Nay,Yea,Yea,Yea,Yea,,,Nay,Nay,Yea,Yea,Nay,Yea,,Nay,Yea,Yea,Yea,Nay,Yea,Nay,,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Yea,,Yea,,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,1820-02-16,0,,unknown,
Nay,Nay,Yea,,Yea,Yea,Nay,Nay,Nay,Nay,,,Yea,Yea,Nay,Nay,Yea,Nay,,Yea,Nay,Nay,Nay,Yea,Nay,Yea,,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Nay,,Nay,,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,1820-02-17,0,,unknown,
Nay,Yea,Yea,,Yea,Yea,Yea,Yea,Nay,Nay,,,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Nay,Yea,,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,,Yea,,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,1820-02-17,0,,unknown,
Yea,Yea,Nay,,Nay,Nay,Yea,Yea,Yea,Yea,,,Yea,Yea,Yea,Yea,Nay,Yea,,Nay,Yea,Yea,Yea,Nay,Nay,Nay,,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,,Yea,,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,1820-02-17,0,,unknown,
Nay,Nay,Yea,,Yea,Yea,Nay,Nay,Nay,Nay,,,Yea,Yea,Nay,Nay,Yea,Nay,,Yea,Nay,Nay,Nay,Yea,Nay,Yea,,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Nay,,Nay,,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,1820-02-28,0,,unknown,
Yea,Nay,Nay,,Nay,Nay,Nay,Nay,Yea,Yea,,,Nay,Nay,Nay,Nay,Nay,Nay,,Nay,Nay,Nay,Nay,Nay,Yea,Nay,,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Yea,,Nay,,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,1820-02-28,0,,unknown,
Nay,Yea,Nay,,Nay,Nay,Nay,Yea,Nay,Nay,,,Nay,Nay,Yea,Not Voting,Nay,Yea,,Nay,Nay,Yea,Yea,Nay,Nay,Nay,,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,,Yea,,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,1820-02-28,0,,unknown,
Yea,Not Voting,Nay,,Nay,Nay,Not Voting,Yea,Nay,Nay,,,Nay,Nay,Yea,Yea,Nay,Nay,,Yea,Yea,Nay,Nay,Yea,Nay,Nay,,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,,Nay,,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,1820-03-01,0,,unknown,
