B000127,B000212,B000398,B000577,B000914,B000921,C000291,D000295,D000308,E000024,E000078,E000124,F000122,G000005,H000735,H000739,J000137,J000170,K000079,K000212,K000217,K000287,L000083,L000376,L000378,L000485,M000034,M000774,M000966,N000118,O000127,P000045,P000084,P000362,P000386,R000377,R000500,S000268,S000609,S000628,S000689,S000949,T000017,T000086,T000102,T000171,V000009,V000037,W000061,W000148,W000516,W000540,date,isAmendment,requires,result,title
Not Voting,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,,Nay,Not Voting,Nay,Yea,Nay,,Nay,Yea,Nay,Yea,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Yea,Nay,Nay,,Yea,Nay,Nay,Nay,,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,1822-01-24,0,,unknown,
Not Voting,Yea,Yea,Not Voting,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Not Voting,Yea,Nay,Nay,Not Voting,,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Nay,Yea,Yea,Yea,,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,1822-01-29,0,,unknown,
Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Not Voting,,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Not Voting,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,1822-02-01,0,,unknown,
Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,,Yea,Yea,Yea,Not Voting,Yea,,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Not Voting,Nay,Nay,Nay,Yea,,Nay,Yea,Yea,Yea,,Yea,Yea,Nay,Yea,Nay,Not Voting,Yea,Yea,1822-02-14,0,,unknown,
Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Nay,Yea,Yea,Yea,Yea,,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Not Voting,Yea,Yea,Not Voting,Yea,,Yea,Yea,Yea,Yea,,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Not Voting,1822-02-19,0,,unknown,
Yea,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,,Nay,Nay,Nay,Yea,Nay,,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Not Voting,Yea,Yea,Not Voting,Yea,,Yea,Yea,Yea,Yea,,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Not Voting,1822-02-19,0,,unknown,
Yea,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Nay,,Nay,Nay,Nay,Nay,Nay,,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Nay,,Yea,Nay,Yea,Yea,,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Not Voting,1822-02-19,0,,unknown,
Yea,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Yea,,Nay,Nay,Nay,Yea,Nay,,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Not Voting,Yea,Yea,Nay,Yea,,Yea,Yea,Yea,Yea,,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Not Voting,1822-02-19,0,,unknown,
Nay,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,,Nay,Yea,Yea,Nay,Yea,,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Not Voting,Nay,Nay,Yea,Nay,,Nay,Nay,Nay,Nay,,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Not Voting,1822-02-19,0,,unknown,
Not Voting,Yea,Nay,Nay,Yea,Not Voting,Nay,Nay,Yea,Yea,Not Voting,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,,Yea,Yea,Not Voting,Yea,Nay,,Nay,Nay,Yea,Not Voting,Nay,Yea,Nay,Yea,Not Voting,Nay,Yea,Nay,Nay,,Nay,Yea,Not Voting,Yea,,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,1822-02-20,0,,unknown,
