B000226,B001186,C000185,D000013,D000324,E000147,E000155,F000100,F000313,G000403,G000526,H000368,H000508,I000053,J000182,J000198,K000212,L000067,L000201,M000031,M000858,M000985,P000102,R000091,S000154,S000805,S001009,W000059,W000633,date,isAmendment,requires,result,title
Yea,Nay,Yea,Yea,,Yea,Yea,Yea,,Nay,Yea,,Yea,Yea,Yea,,,Nay,Nay,Nay,,Yea,Yea,Yea,,,Yea,,Nay,1789-07-17,0,,unknown,s1
Nay,Not Voting,Nay,Nay,,Not Voting,Nay,Yea,,Yea,Yea,,Nay,Yea,Yea,,,Yea,Yea,Yea,,Nay,Nay,Nay,,,Nay,,Yea,1789-07-18,0,,unknown,s2
Yea,Not Voting,Yea,Yea,,Yea,Yea,Nay,,Nay,Nay,,Yea,Nay,Nay,,,Nay,Nay,Nay,,Yea,Yea,Yea,,,Yea,,Nay,1789-07-18,0,,unknown,s3
Not Voting,Yea,Nay,Nay,,Nay,Nay,Yea,,Yea,Yea,,Nay,Yea,Yea,,Nay,Yea,Yea,Not Voting,,Nay,Not Voting,Nay,Nay,,Nay,,Yea,1789-08-04,0,,unknown,s4
Not Voting,Yea,Nay,Nay,,Nay,Nay,Yea,,Yea,Yea,,Nay,Yea,Yea,,Nay,Yea,Not Voting,Not Voting,,Nay,Not Voting,Nay,Nay,,Nay,,Yea,1789-08-04,0,,unknown,s5
Not Voting,Nay,Yea,Yea,,Yea,Yea,Nay,,Not Voting,Nay,,Yea,Nay,Yea,,Yea,Yea,Nay,Nay,,Nay,Not Voting,Yea,Yea,,Yea,,Yea,1789-08-18,0,,unknown,s6
Yea,Nay,Yea,Nay,,Yea,Yea,Nay,,Not Voting,Nay,,Yea,Nay,Nay,,Yea,Nay,Nay,Nay,,Yea,Yea,Yea,Yea,,Not Voting,,Nay,1789-08-25,0,,unknown,s7
Yea,Yea,Nay,Yea,,Yea,Nay,Yea,,Not Voting,Yea,,Yea,Yea,Yea,,Yea,Not Voting,Yea,Nay,,Yea,Nay,Yea,Nay,,Not Voting,,Nay,1789-08-28,0,,unknown,s8
Nay,Nay,Nay,Nay,,Yea,Yea,Nay,,Not Voting,Nay,,Nay,Nay,Yea,,Nay,Not Voting,Nay,Yea,,Nay,Nay,Nay,Yea,,Not Voting,,Yea,1789-08-28,0,,unknown,s9
Nay,Nay,Nay,Nay,,Nay,Yea,Nay,,Not Voting,Nay,,Nay,Nay,Nay,,Nay,Not Voting,Nay,Yea,,Nay,Not Voting,Nay,Yea,,Not Voting,,Yea,1789-08-28,0,,unknown,s10
