A000174,A000307,B000084,B000167,B000388,B000661,B000669,B000671,B000929,C000418,D000165,F000124,F000178,G000139,G000183,G000215,G000286,G000311,G000434,G000442,G000466,G000502,H000299,H000570,H000618,H000629,H000916,J000036,K000158,K000246,K000253,L000120,L000178,L000200,L000246,L000364,M000034,M000043,M000645,M000712,M000891,M001063,M001119,N000109,O000101,P000018,P000065,S000140,S000222,S000242,S000340,S000412,S000557,S000563,S000633,S000832,S000866,S001047,S001073,T000141,T000361,T000389,T000403,V000083,V000104,W000013,W000127,W000216,W000352,W000551,W000560,date,isAmendment,requires,result,title
Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Nay,Nay,Yea,,Yea,Yea,Nay,Not Voting,Yea,Nay,,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,,Nay,Nay,Yea,Not Voting,,Yea,Yea,Yea,Nay,,Yea,Yea,Not Voting,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Not Voting,Nay,Yea,Nay,Yea,Not Voting,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Not Voting,Yea,1791-11-15,0,,unknown,
Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Not Voting,Yea,Nay,Not Voting,Nay,Nay,Yea,Yea,Nay,,Nay,Nay,Nay,Nay,Nay,Yea,,Nay,Nay,Not Voting,Yea,Nay,Nay,Nay,Nay,,Yea,Nay,Nay,Not Voting,,Nay,Nay,Nay,Yea,,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Not Voting,Yea,Nay,Yea,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Yea,Nay,Nay,Nay,Nay,1791-11-23,0,,unknown,hr147
Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Not Voting,Not Voting,Nay,Yea,Not Voting,Not Voting,Yea,Nay,Nay,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,,Nay,Yea,Yea,Not Voting,,Yea,Yea,Yea,Nay,,Not Voting,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Not Voting,Not Voting,Nay,Yea,Nay,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,1791-11-24,0,,unknown,hr147
Yea,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Yea,,Not Voting,Nay,Yea,Nay,Not Voting,Nay,,Nay,Nay,Nay,Yea,Nay,Not Voting,Not Voting,Nay,,Yea,Nay,Nay,Not Voting,,Nay,Nay,Nay,Yea,,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Not Voting,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,1791-12-14,0,,unknown,hr147
Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Yea,,Not Voting,Nay,Nay,Yea,Not Voting,Yea,,Nay,Yea,Nay,Yea,Yea,Not Voting,Not Voting,Nay,,Yea,Nay,Nay,Not Voting,,Nay,Nay,Nay,Yea,,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Not Voting,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,1791-12-14,0,,unknown,hr147
Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Yea,,Yea,Nay,Nay,Yea,Not Voting,Yea,,Nay,Yea,Nay,Not Voting,Yea,Nay,Yea,Nay,,Yea,Nay,Nay,Not Voting,,Nay,Nay,Nay,Yea,,Nay,Nay,Nay,Yea,Nay,Not Voting,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Not Voting,Nay,Nay,Not Voting,Yea,Yea,Nay,Nay,Nay,Nay,1791-12-19,0,,unknown,hr147
Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Nay,,Nay,Yea,Yea,Nay,Not Voting,Nay,,Yea,Nay,Yea,Not Voting,Nay,Yea,Nay,Yea,,Nay,Yea,Yea,Not Voting,,Yea,Yea,Yea,Nay,,Yea,Yea,Yea,Nay,Yea,Not Voting,Nay,Nay,Nay,Yea,Not Voting,Yea,Nay,Yea,Nay,Yea,Not Voting,Yea,Yea,Not Voting,Nay,Nay,Yea,Yea,Yea,Yea,1791-12-19,0,,unknown,hr147
Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Not Voting,Yea,Yea,Nay,Yea,Nay,Nay,Nay,,Not Voting,Yea,Nay,Not Voting,Nay,Not Voting,,Not Voting,Yea,Nay,Not Voting,Not Voting,Not Voting,Nay,Yea,,Nay,Yea,Yea,Not Voting,,Not Voting,Yea,Nay,Nay,,Yea,Yea,Nay,Not Voting,Yea,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Yea,Yea,Yea,Yea,Nay,Not Voting,Nay,Yea,Not Voting,Nay,Nay,Yea,Yea,Yea,Yea,1792-01-02,0,,unknown,s25
Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Nay,Nay,,Not Voting,Yea,Nay,Not Voting,Nay,Not Voting,,Not Voting,Yea,Nay,Nay,Not Voting,Not Voting,Nay,Yea,,Nay,Yea,Yea,Not Voting,,Not Voting,Yea,Nay,Nay,,Yea,Yea,Nay,Not Voting,Yea,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Nay,Yea,Not Voting,Nay,Nay,Yea,Yea,Yea,Yea,1792-01-02,0,,unknown,s25
Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,,Nay,Yea,Nay,Not Voting,Nay,Not Voting,,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,,Nay,Nay,Yea,Not Voting,,Nay,Nay,Yea,Nay,,Nay,Nay,Nay,Not Voting,Yea,Not Voting,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Not Voting,Not Voting,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,1792-01-05,0,,unknown,hr154
