B000739,B000745,B000929,B001133,B001186,C000009,E000075,E000147,F000313,F000368,G000020,G000526,H000368,H000508,I000053,J000017,K000212,L000067,L000115,L000364,M000166,M000828,M000858,M000985,P000473,R000350,R000448,R000550,S001009,T000086,T000107,V000104,date,isAmendment,requires,result,title
Yea,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Not Voting,Not Voting,Not Voting,Yea,Nay,Yea,Yea,,Nay,Nay,Yea,Nay,Yea,Not Voting,Not Voting,,Nay,Yea,Nay,,Yea,1794-01-08,0,,unknown,
Nay,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Nay,,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Nay,,Nay,Yea,Nay,,Nay,1794-01-09,0,,unknown,
Nay,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Not Voting,Yea,Yea,Nay,Nay,Nay,Nay,Nay,,Nay,Yea,Not Voting,Yea,Nay,Nay,Yea,,Nay,Nay,Yea,,Nay,1794-04-19,0,,unknown,
Yea,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Not Voting,Yea,Nay,Yea,Yea,Yea,Yea,Yea,,Yea,Nay,Not Voting,Nay,Yea,Yea,Not Voting,,Yea,Yea,Nay,,Yea,1794-04-19,0,,unknown,
Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,,Nay,Yea,Yea,,Yea,1794-01-14,0,,unknown,
Nay,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Nay,Nay,,Nay,Yea,Nay,Yea,Nay,Not Voting,Yea,,Not Voting,Nay,Yea,,Nay,1794-01-16,0,,unknown,
Nay,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Not Voting,Yea,Not Voting,Nay,Yea,Nay,Nay,,Nay,Yea,Nay,Yea,Nay,Not Voting,Yea,,Not Voting,Nay,Yea,,Nay,1794-01-16,0,,unknown,
Nay,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Not Voting,Yea,Not Voting,Nay,Yea,Nay,Nay,,Nay,Yea,Nay,Yea,Nay,Not Voting,Yea,,Not Voting,Nay,Yea,,Nay,1794-01-16,0,,unknown,
Nay,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Not Voting,Yea,Not Voting,Nay,Yea,Not Voting,Yea,,Nay,Yea,Nay,Yea,Nay,Not Voting,Yea,,Not Voting,Nay,Yea,,Nay,1794-01-24,0,,unknown,
Yea,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Not Voting,Yea,Nay,Nay,Yea,,Yea,Nay,Yea,Nay,Yea,Nay,Not Voting,,Yea,Yea,Nay,,Yea,1794-02-19,0,,unknown,
