A000062,A000186,B000384,B000399,B000816,B000820,B000823,B001177,B001180,B001208,C000021,C000128,C000154,C000221,C000317,C000338,C000506,C000684,C000774,D000360,D000456,D000516,D000585,E000018,E000037,E000112,F000081,F000190,F000356,F000401,G000131,G000205,G000418,H000385,H000495,H000502,H000559,H000598,H000679,H000720,H000953,H000975,I000050,J000093,J000127,J000160,J000195,K000044,K000082,K000144,K000176,K000292,L000070,L000224,L000394,L000428,M000053,M000086,M000177,M000279,M000308,M000315,M000332,M000438,M000499,M000559,M000771,M000859,M000878,M001014,M001078,M001108,N000023,N000116,O000032,O000088,P000100,R000317,R000536,S000021,S000138,S000214,S000505,S000553,S000590,S000639,S000701,S000852,T000009,T000259,T000289,U000015,V000025,W000190,W000269,W000344,W000465,W000518,Y000047,date,isAmendment,requires,result,title
Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Present,Present,Present,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Present,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Present,Yea,Not Voting,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Not Voting,Present,Nay,Not Voting,Yea,Present,Yea,Yea,Yea,Yea,Nay,Yea,,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Nay,,Yea,Nay,Nay,Yea,Not Voting,Yea,Nay,Nay,Not Voting,,Present,Nay,Nay,Nay,Nay,Nay,Nay,1951-01-15,0,,unknown,
Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Present,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,1951-01-24,0,,unknown,sres36
Nay,Present,Nay,Nay,Nay,Nay,Present,Nay,Nay,Present,Present,Nay,Nay,Nay,Yea,Present,Nay,Nay,Yea,Present,Nay,Not Voting,Nay,Yea,Yea,Nay,Nay,Not Voting,Nay,Present,Yea,Present,Nay,Present,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Present,Nay,Present,Yea,Nay,Nay,Present,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Present,Yea,Nay,Nay,Nay,Yea,Present,Nay,Nay,,Nay,Nay,Nay,Nay,Nay,Present,Not Voting,Nay,Present,Present,Nay,Nay,,Nay,Nay,Nay,Yea,Present,Present,Nay,Nay,Nay,,Present,Yea,Present,Nay,Nay,Nay,Nay,1951-01-24,0,,unknown,sres43
Yea,Yea,Yea,Present,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Present,Yea,Nay,Yea,Not Voting,Yea,Nay,Yea,Nay,Nay,Not Voting,Yea,Yea,Nay,Not Voting,Nay,Present,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Present,Nay,Nay,Nay,Not Voting,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Present,Present,Nay,Yea,,Yea,Yea,Yea,Yea,Present,Yea,Yea,Yea,Nay,Nay,Yea,Yea,,Yea,Nay,Nay,Nay,Present,Nay,Nay,Yea,Yea,,Present,Yea,Present,Nay,Yea,Nay,Not Voting,1951-02-21,0,,unknown,hr1724
Yea,Yea,Nay,Present,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Present,Yea,Nay,Yea,Not Voting,Yea,Nay,Yea,Nay,Nay,Not Voting,Yea,Yea,Nay,Yea,Nay,Present,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Present,Nay,Nay,Nay,Not Voting,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Present,Present,Nay,Yea,,Yea,Yea,Yea,Yea,Present,Yea,Yea,Yea,Nay,Nay,Yea,Yea,,Yea,Nay,Nay,Nay,Present,Nay,Nay,Yea,Yea,,Present,Yea,Present,Nay,Yea,Nay,Not Voting,1951-02-21,0,,unknown,hr1724
Nay,Nay,Yea,Present,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Present,Nay,Yea,Nay,Not Voting,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Present,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Present,Nay,Present,Yea,Yea,Yea,Not Voting,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Present,Present,Yea,Nay,,Nay,Nay,Nay,Nay,Present,Nay,Nay,Nay,Yea,Yea,Nay,Nay,,Nay,Yea,Yea,Yea,Present,Yea,Yea,Nay,Nay,,Present,Nay,Present,Yea,Nay,Yea,Not Voting,1951-02-21,0,,unknown,hr1724
Yea,Yea,Nay,Present,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Present,Yea,Nay,Yea,Not Voting,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Present,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Present,Yea,Present,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Present,Present,Nay,Yea,,Yea,Yea,Yea,Yea,Present,Yea,Yea,Yea,Nay,Nay,Yea,Yea,,Yea,Nay,Nay,Nay,Present,Nay,Nay,Yea,Yea,,Present,Yea,Present,Nay,Yea,Nay,Not Voting,1951-02-21,0,,unknown,hr1724
Nay,Nay,Yea,Nay,Yea,Yea,Not Voting,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Not Voting,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Not Voting,Present,Nay,Nay,Nay,Nay,Nay,Nay,,Yea,Yea,Present,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Not Voting,,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Yea,Nay,Nay,,Present,Yea,Yea,Yea,Not Voting,Yea,Yea,1951-03-05,0,,unknown,s1
Nay,Not Voting,Nay,Yea,Present,Nay,Not Voting,Nay,Nay,Not Voting,Present,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Present,Nay,Not Voting,Nay,Present,Nay,Nay,Nay,Nay,Nay,Nay,,Yea,Nay,Present,Not Voting,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Nay,,Nay,Nay,Present,Nay,Nay,Nay,Nay,Nay,Present,,Present,Present,Nay,Nay,Not Voting,Nay,Nay,1951-03-05,0,,unknown,s1
Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Not Voting,Nay,Nay,Yea,Nay,Nay,Nay,Not Voting,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Present,Nay,Nay,Nay,Nay,Nay,Nay,,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,,Present,Nay,Nay,Yea,Not Voting,Nay,Nay,1951-03-06,0,,unknown,s1
