A000026,A000041,A000197,B000084,B000249,B000745,C000482,C000671,F000074,G000005,G000183,G000215,H000618,H000870,J000017,K000246,L000401,M000029,M000712,M000831,M000891,P000324,P000393,R000125,S000524,S000557,S000566,S000567,S000609,S000955,S001073,T000249,T000348,T000423,W000392,W000750,W000768,date,isAmendment,requires,result,title
Nay,Nay,Yea,Nay,Not Voting,Yea,,Yea,Yea,Nay,Not Voting,Nay,Not Voting,Yea,Nay,Yea,Yea,Yea,,Yea,Nay,Nay,Yea,,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Nay,Yea,Nay,Not Voting,Not Voting,Yea,Nay,1805-12-17,0,,unknown,
Nay,Nay,Yea,Nay,Not Voting,Yea,,Yea,Yea,Nay,Not Voting,Yea,Not Voting,Yea,Nay,Yea,Yea,Yea,,Yea,Nay,Nay,Yea,,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Nay,Yea,Nay,Not Voting,Not Voting,Yea,Yea,1805-12-17,0,,unknown,
Yea,Yea,Yea,Yea,Not Voting,Yea,,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Nay,,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,1805-12-19,0,,unknown,
Yea,Yea,Yea,Yea,Not Voting,Yea,,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Nay,,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,1805-12-19,0,,unknown,
Yea,Yea,Yea,Yea,Not Voting,Yea,,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Nay,,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,1805-12-23,0,,unknown,
Yea,Yea,Yea,Yea,Not Voting,Yea,,Yea,Yea,Yea,Not Voting,Yea,Nay,Yea,Yea,Yea,Yea,Not Voting,,Yea,Yea,Yea,Nay,,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,1805-12-23,0,,unknown,
Yea,Yea,Yea,Yea,Not Voting,Yea,,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Nay,,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Not Voting,1805-12-24,0,,unknown,
Nay,Nay,Nay,Nay,Not Voting,Nay,,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Nay,,Nay,Yea,Nay,Nay,,Not Voting,Yea,Nay,Not Voting,Yea,Not Voting,Nay,Yea,Nay,Nay,Nay,Nay,Yea,1806-01-07,0,,unknown,
Not Voting,Yea,Nay,Nay,Not Voting,Nay,,Nay,Yea,Nay,Not Voting,Yea,Yea,Not Voting,Not Voting,Nay,Nay,Nay,,Yea,Nay,Yea,Nay,,Nay,Nay,Nay,Yea,Yea,Not Voting,Nay,Not Voting,Nay,Nay,Yea,Not Voting,Nay,1806-01-08,0,,unknown,
Yea,Nay,Yea,Yea,Not Voting,Yea,,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,,Yea,Yea,Nay,Nay,,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,1806-01-15,0,,unknown,
