B000212,B000228,B000345,B000398,B000413,B000664,B000763,C000282,C000284,C000291,C000325,C000499,C000553,D000308,E000024,E000070,E000136,F000122,G000005,H000226,H000279,H000398,H000494,H000739,J000170,J000194,K000006,K000217,K000287,L000376,L000378,M000034,M000137,M000475,M000519,M000774,N000118,P000322,R000047,R000129,R000245,R000297,R000378,R000471,R000500,S000052,S000268,S000411,S000609,S000628,T000108,T000171,V000009,V000037,W000376,W000482,W000540,W000711,date,isAmendment,requires,result,title,billTitle,committee,officialTitle,sponsor
Yea,,Yea,Yea,Not Voting,Not Voting,Nay,,Not Voting,Nay,Yea,Nay,Nay,Yea,Nay,Yea,,Yea,Nay,,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Not Voting,Not Voting,Nay,Yea,Not Voting,,Nay,Yea,,,,,Yea,,Nay,Yea,,Yea,,Yea,,Not Voting,Yea,Nay,Nay,,Yea,Not Voting,Yea,1825-12-09,0,,unknown,,,,,unknown
Yea,,Yea,Yea,Not Voting,Not Voting,Yea,,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,,Yea,Yea,,Not Voting,,,Yea,,Yea,Yea,,Yea,,Yea,,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,1825-12-26,0,,unknown,,,,,unknown
Yea,,Yea,Yea,Not Voting,Not Voting,Yea,,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,,Yea,Yea,,Not Voting,,,Yea,,Yea,Yea,,Yea,,Yea,,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,1825-12-26,0,,unknown,,,,,unknown
Yea,,Not Voting,Yea,Not Voting,Not Voting,Not Voting,,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,,Yea,Yea,,Not Voting,,,Yea,,Yea,Yea,,Yea,,Yea,,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,1825-12-26,0,,unknown,,,,,unknown
Yea,,Yea,Yea,Not Voting,Yea,Yea,,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Not Voting,,Not Voting,,,Yea,,Yea,Yea,,Yea,,Yea,,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,1825-12-29,0,,unknown,,,,,unknown
Yea,,Nay,Yea,Yea,Yea,Not Voting,,Not Voting,Nay,Yea,Nay,Nay,Not Voting,Nay,Yea,Yea,Nay,Not Voting,,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Nay,Yea,Yea,,Yea,Yea,,Nay,,,Yea,,Yea,Nay,,Yea,,Nay,,Not Voting,Yea,Yea,Nay,Yea,Nay,Not Voting,Yea,1826-01-12,0,,unknown,,,,,unknown
Nay,,Nay,Not Voting,Yea,Yea,Nay,,,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Not Voting,,Nay,Yea,Nay,Nay,Not Voting,Yea,Nay,Yea,Yea,Not Voting,Nay,Nay,Nay,Yea,,Yea,Nay,,Not Voting,,,Nay,,Not Voting,Nay,,Yea,,Yea,,Nay,Nay,Not Voting,Yea,Nay,Not Voting,Nay,Nay,1826-01-25,0,,unknown,,,,,unknown
Yea,,Yea,Yea,Yea,Yea,Yea,,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,,Yea,Yea,,Not Voting,,,Yea,,Yea,Not Voting,Yea,Yea,,Yea,,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,1826-02-02,0,,unknown,,,,,unknown
Yea,,Yea,Yea,Yea,Yea,Yea,,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Not Voting,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,,Yea,Yea,,Not Voting,,,Yea,,Yea,Not Voting,Yea,Yea,,Yea,,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,1826-02-02,0,,unknown,,,,,unknown
Yea,,Yea,Yea,Yea,Yea,Yea,,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Not Voting,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,,Yea,Yea,,Not Voting,,,Yea,,Yea,Not Voting,Yea,Yea,,Yea,,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,1826-02-02,0,,unknown,,,,,unknown
Yea,,Yea,Yea,Yea,Yea,Yea,,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,,Yea,Yea,,Not Voting,,,Yea,,Yea,Not Voting,Yea,Yea,,Yea,,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,1826-02-02,0,,unknown,,,,,unknown
Yea,,Yea,Yea,Yea,Yea,Yea,,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Not Voting,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,,Yea,Yea,,Not Voting,,,Yea,,Yea,Not Voting,Yea,Yea,,Yea,,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,1826-02-02,0,,unknown,,,,,unknown
Yea,,Yea,Yea,Yea,Yea,Yea,,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Not Voting,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,,Yea,Yea,,Not Voting,,,Yea,,Yea,Not Voting,Yea,Yea,,Yea,,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,1826-02-02,0,,unknown,,,,,unknown
