A000028,A000319,B000100,B000252,B000470,B000634,B000769,B000873,B000895,B000972,B001144,B001196,C000066,C000133,C000139,C000651,C000769,C000812,C000988,C001008,D000009,D000233,D000298,D000345,E000044,E000066,E000109,E000206,F000084,F000092,F000096,F000200,F000354,G000131,G000141,G000232,G000288,G000425,H000031,H000227,H000259,H000265,H000446,H000868,J000140,J000161,J000210,J000257,K000098,K000161,K000216,L000004,L000012,L000241,L000393,M000281,M000369,M000499,M000521,M000547,M000583,M000621,M000670,M001028,N000023,N000040,N000132,N000139,O000035,O000140,O000153,P000219,P000317,P000372,R000020,R000059,R000114,R000118,R000347,S000337,S000363,S000369,S000380,S000415,S000530,S000644,S000730,S000791,S000796,S000857,S000872,S001094,T000353,U000013,W000012,W000097,W000104,W000164,W000203,W000276,W000330,W000561,date,isAmendment,requires,result,title,billTitle,committee,officialTitle,sponsor
,,,,,,,,,,,,,,,,,,Not Voting,,,,,,Not Voting,Not Voting,,Not Voting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Voting,,,,,,,,,,,,,,,,,,,Not Voting,,,,,,,Not Voting,,,,Not Voting,,,,,,,,,,,,,,1923-12-10,0,,unknown,,,,,unknown
Not Voting,Not Voting,Yea,Not Voting,,Yea,Yea,Present,Not Voting,Not Voting,Yea,,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,Yea,,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Present,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Present,Yea,Present,Not Voting,Yea,Not Voting,Yea,Not Voting,,Present,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,,,Yea,Not Voting,,Yea,Present,Yea,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Present,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,1923-12-10,0,,unknown,,,,,unknown
Not Voting,Not Voting,Yea,Not Voting,,Yea,Yea,Present,Not Voting,Not Voting,Yea,,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,Yea,,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Present,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Present,Yea,Present,Not Voting,Yea,Not Voting,Yea,Not Voting,,Present,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,,,Yea,Not Voting,,Yea,Present,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Present,Yea,Not Voting,Not Voting,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Yea,1923-12-10,0,,unknown,,,,,unknown
Yea,Not Voting,Yea,Yea,,Not Voting,Yea,Nay,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,,,Yea,Yea,,Yea,Nay,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Nay,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,1923-12-11,0,,unknown,,,,,unknown
Not Voting,Not Voting,Yea,Not Voting,,Yea,Yea,Present,Not Voting,Not Voting,Yea,,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,Yea,,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Present,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Present,Yea,Present,Not Voting,Yea,Not Voting,Yea,Not Voting,,Present,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,,,Yea,Not Voting,,Yea,Present,Yea,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Present,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Yea,1923-12-11,0,,unknown,,,,,unknown
Not Voting,Not Voting,Yea,Not Voting,,Yea,Yea,Present,Not Voting,Not Voting,Yea,,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,Yea,,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Present,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Present,Yea,Present,Not Voting,Yea,Not Voting,Yea,Not Voting,,Present,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,,,Yea,Not Voting,,Yea,Present,Yea,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Present,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Yea,1923-12-11,0,,unknown,,,,,unknown
Not Voting,Not Voting,Yea,Not Voting,,Not Voting,Yea,Present,Not Voting,Not Voting,Yea,,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,Yea,,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Present,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Present,Yea,Present,Not Voting,Yea,Not Voting,Yea,Not Voting,,Present,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,,,Yea,Not Voting,,Not Voting,Present,Yea,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Present,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Yea,1923-12-11,0,,unknown,,,,,unknown
Not Voting,Not Voting,Yea,Not Voting,,Yea,Yea,Not Voting,Not Voting,Yea,Yea,,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,Yea,,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Present,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Not Voting,,Present,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,,,Yea,Not Voting,,Yea,Present,Yea,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,1923-12-12,0,,unknown,,,,,unknown
Not Voting,Not Voting,Yea,Not Voting,,Yea,Yea,Not Voting,Not Voting,Yea,Yea,,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,Yea,,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Present,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Not Voting,,Not Voting,Yea,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Yea,,,Yea,Not Voting,,Yea,Present,Yea,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,1923-12-12,0,,unknown,,,,,unknown
Not Voting,Not Voting,Yea,Not Voting,,Yea,Yea,Not Voting,Not Voting,Yea,Yea,,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,Yea,,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Present,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Not Voting,,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,,,Yea,Not Voting,,Yea,Present,Yea,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,1923-12-12,0,,unknown,,,,,unknown
