Adams,American,Anti Jacksonian,Anti Masonic,Anti-Administration,Democrat,Federalist,Ind. Republican-Democrat,Jackson,Populist,Pro-Administration,Republican,Unionist,Whig
0,0,0,0,5,0,23,0,0,0,10,18,0,0
0,0,0,0,6,0,30,0,0,0,6,25,0,0
0,0,0,0,4,0,43,0,2,0,4,51,0,0
0,0,0,0,1,0,75,0,3,0,0,74,0,0
0,0,0,0,0,0,93,0,3,0,0,64,0,0
0,0,0,0,0,0,88,0,5,0,0,54,0,0
0,0,0,0,0,0,54,0,4,0,0,87,0,0
0,0,0,0,0,0,47,0,5,0,0,135,0,2
0,0,0,0,0,0,33,0,8,0,0,138,0,3
3,0,0,0,0,0,29,0,11,0,0,139,0,3
2,0,1,0,0,0,57,0,10,0,0,122,0,3
2,0,0,0,0,2,41,0,13,0,0,119,0,5
2,0,1,0,0,5,74,0,15,0,0,136,0,7
9,0,2,0,0,5,69,0,17,0,0,124,0,11
16,0,1,0,0,2,43,0,27,0,0,139,0,8
23,0,2,0,0,2,23,0,31,0,0,138,0,13
28,0,2,0,0,9,20,0,54,0,0,87,0,16
42,0,1,1,0,11,3,0,74,0,0,32,1,23
84,1,2,3,0,16,1,0,114,0,0,4,1,26
58,1,8,3,0,15,1,0,112,0,0,5,1,32
11,1,8,6,0,26,1,0,125,0,0,5,1,32
5,1,16,15,0,34,0,1,106,0,0,6,1,49
3,1,21,16,0,59,0,1,99,0,0,2,0,70
1,1,4,11,0,114,0,1,69,0,0,2,1,96
0,1,0,4,0,174,0,0,0,0,0,4,2,126
0,2,0,2,0,165,0,0,0,0,0,5,2,137
0,1,0,0,0,136,0,0,0,0,0,6,2,169
0,0,0,0,0,178,0,1,0,0,0,13,2,95
0,7,0,0,0,185,0,1,0,0,0,15,1,87
0,5,0,0,0,158,0,3,0,0,0,13,2,122
0,5,0,0,0,158,0,2,0,0,0,21,0,118
0,5,0,0,0,176,0,11,0,0,0,19,5,85
0,10,0,0,0,193,0,24,0,0,0,26,2,47
