B000226,B001186,C000185,D000013,D000324,E000147,E000155,F000100,F000313,G000403,G000526,H000368,H000508,I000053,J000182,J000198,K000212,L000067,L000201,M000031,M000858,M000985,P000102,R000091,S000154,S000805,S001009,W000059,W000633,date,isAmendment,requires,result,title,billTitle,committee,officialTitle,sponsor
Yea,Nay,Yea,Yea,,Yea,Yea,Yea,,Nay,Yea,,Yea,Yea,Yea,,,Nay,Nay,Nay,,Yea,Yea,Yea,,,Yea,,Nay,1789-07-17,0,,unknown,,,,,
Nay,Not Voting,Nay,Nay,,Not Voting,Nay,Yea,,Yea,Yea,,Nay,Yea,Yea,,,Yea,Yea,Yea,,Nay,Nay,Nay,,,Nay,,Yea,1789-07-18,0,,unknown,,,,,
Yea,Not Voting,Yea,Yea,,Yea,Yea,Nay,,Nay,Nay,,Yea,Nay,Nay,,,Nay,Nay,Nay,,Yea,Yea,Yea,,,Yea,,Nay,1789-07-18,0,,unknown,,,,,
Not Voting,Yea,Nay,Nay,,Nay,Nay,Yea,,Yea,Yea,,Nay,Yea,Yea,,Nay,Yea,Yea,Not Voting,,Nay,Not Voting,Nay,Nay,,Nay,,Yea,1789-08-04,0,,unknown,,,,,
Not Voting,Yea,Nay,Nay,,Nay,Nay,Yea,,Yea,Yea,,Nay,Yea,Yea,,Nay,Yea,Not Voting,Not Voting,,Nay,Not Voting,Nay,Nay,,Nay,,Yea,1789-08-04,0,,unknown,,,,,
Not Voting,Nay,Yea,Yea,,Yea,Yea,Nay,,Not Voting,Nay,,Yea,Nay,Yea,,Yea,Yea,Nay,Nay,,Nay,Not Voting,Yea,Yea,,Yea,,Yea,1789-08-18,0,,unknown,,,,,
Yea,Nay,Yea,Nay,,Yea,Yea,Nay,,Not Voting,Nay,,Yea,Nay,Nay,,Yea,Nay,Nay,Nay,,Yea,Yea,Yea,Yea,,Not Voting,,Nay,1789-08-25,0,,unknown,,,,,
Yea,Yea,Nay,Yea,,Yea,Nay,Yea,,Not Voting,Yea,,Yea,Yea,Yea,,Yea,Not Voting,Yea,Nay,,Yea,Nay,Yea,Nay,,Not Voting,,Nay,1789-08-28,0,,unknown,,,,,
Nay,Nay,Nay,Nay,,Yea,Yea,Nay,,Not Voting,Nay,,Nay,Nay,Yea,,Nay,Not Voting,Nay,Yea,,Nay,Nay,Nay,Yea,,Not Voting,,Yea,1789-08-28,0,,unknown,,,,,
Nay,Nay,Nay,Nay,,Nay,Yea,Nay,,Not Voting,Nay,,Nay,Nay,Nay,,Nay,Not Voting,Nay,Yea,,Nay,Not Voting,Nay,Yea,,Not Voting,,Yea,1789-08-28,0,,unknown,,,,,
Nay,Nay,Nay,Yea,,Nay,Nay,Not Voting,,Yea,Yea,,Nay,Nay,Nay,,Yea,Not Voting,Yea,Not Voting,,Nay,Nay,Nay,Yea,,Not Voting,,Nay,1789-09-02,0,,unknown,,,,,
Nay,Not Voting,Nay,Nay,,Nay,Nay,Not Voting,,Yea,Nay,,Nay,Nay,Nay,,Nay,Not Voting,Yea,Not Voting,,Nay,Nay,Nay,Not Voting,,Not Voting,,Nay,1789-09-03,0,,unknown,,,,,
Not Voting,Yea,Nay,Nay,,Nay,Nay,Not Voting,,Yea,Yea,,Yea,Not Voting,Nay,,Nay,Not Voting,Yea,Not Voting,,Not Voting,Nay,Nay,Nay,,Not Voting,,Yea,1789-09-04,0,,unknown,,,,,
Yea,Yea,Nay,Yea,,Yea,Nay,Not Voting,,Not Voting,Yea,,Yea,Yea,Yea,,Yea,Not Voting,Yea,Not Voting,,Yea,Nay,Yea,Nay,,Not Voting,,Nay,1789-09-07,0,,unknown,,,,,
Yea,Not Voting,Nay,Yea,,Nay,Not Voting,Not Voting,,Yea,Yea,,Yea,Nay,Nay,,Nay,Not Voting,Yea,Not Voting,,Nay,Yea,Nay,Yea,,Not Voting,,Nay,1789-09-09,0,,unknown,,,,,
Nay,Yea,Yea,Nay,,Nay,Not Voting,Not Voting,,Nay,Yea,,Nay,Yea,Nay,,Yea,Not Voting,Nay,Nay,,Yea,Yea,Yea,Yea,,Not Voting,,Nay,1789-09-21,0,,unknown,,,,,
Yea,Yea,Yea,Nay,,Nay,Not Voting,Not Voting,,Yea,Yea,,Yea,Yea,Nay,,Nay,Not Voting,Yea,Nay,,Nay,Nay,Nay,Nay,,Not Voting,,Nay,1789-09-24,0,,unknown,,,,,
