B000345,B000398,B000433,B000503,B000903,B001030,C000044,C000282,C000482,C000496,D000011,D000308,D000511,E000136,E000281,F000246,F000284,F000373,G000509,H000165,H000398,H000494,H000593,H000739,J000194,K000006,K000217,K000287,M000096,M000127,M000755,M000898,N000010,P000402,P000510,R000285,R000297,R000344,R000500,S000268,S000411,S000609,S000744,T000108,T000284,T000300,T000382,T000450,W000017,W000238,W000376,W000475,W000770,date,isAmendment,requires,result,title,billTitle,committee,officialTitle,sponsor
Nay,Nay,Yea,,Yea,Nay,,Not Voting,Nay,Not Voting,Yea,Yea,Yea,Not Voting,Nay,Nay,Not Voting,Not Voting,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Not Voting,Nay,Nay,,Nay,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Not Voting,,Nay,Nay,Nay,Not Voting,Nay,Yea,Yea,,1831-12-22,0,,unknown,,,,,
Yea,Yea,Nay,,Yea,Yea,,Not Voting,Yea,Not Voting,Nay,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Not Voting,Nay,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,,Yea,Yea,Yea,Yea,Nay,Nay,Not Voting,Not Voting,,Yea,Yea,Yea,Nay,Not Voting,Yea,Yea,,1831-12-28,0,,unknown,,,,,
Nay,Yea,Yea,,Yea,Nay,,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Not Voting,Not Voting,Nay,,Nay,Nay,Nay,Nay,Nay,Yea,Not Voting,Yea,,Nay,Yea,Yea,Yea,Not Voting,Yea,Nay,,1831-12-30,0,,unknown,,,,,
Nay,Yea,Not Voting,,Yea,Nay,,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Not Voting,Nay,,Nay,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Yea,Yea,Nay,Yea,Yea,Not Voting,Nay,Yea,Nay,,1832-01-05,0,,unknown,,,,,
Yea,Nay,Nay,,Nay,Yea,,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,,Nay,Yea,Nay,Yea,Yea,Not Voting,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Not Voting,Yea,,Yea,Yea,Yea,Yea,Yea,Nay,Not Voting,Nay,Nay,Yea,Nay,Nay,Not Voting,Yea,Nay,Yea,,1832-01-05,0,,unknown,,,,,
Yea,Nay,Yea,,Nay,Nay,,Yea,Yea,Not Voting,Nay,Nay,Not Voting,Nay,Yea,Yea,Nay,Yea,Nay,,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Not Voting,Yea,,Yea,Nay,Yea,Yea,Yea,Nay,Not Voting,Nay,Nay,Yea,Nay,Yea,Nay,Not Voting,Nay,Nay,,1832-01-13,0,,unknown,,,,,
Nay,Yea,Nay,,Not Voting,Nay,,Nay,Not Voting,Nay,Nay,Not Voting,Yea,Yea,Nay,Nay,Yea,Nay,Yea,,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Not Voting,Nay,,Nay,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Yea,Nay,Nay,Yea,Yea,Not Voting,Nay,Yea,Nay,,1832-01-20,0,,unknown,,,,,
Nay,Yea,Not Voting,,Yea,Yea,,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Not Voting,,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,,1832-01-25,0,,unknown,,,,,
Yea,Yea,Yea,,Not Voting,Yea,,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,,1832-01-27,0,,unknown,,,,,
Yea,Not Voting,Yea,,Not Voting,Nay,,Not Voting,Yea,Yea,Nay,Yea,Yea,Not Voting,Yea,Yea,Nay,Yea,Nay,,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Not Voting,Yea,Nay,Yea,,1832-02-13,0,,unknown,,,,,
