A000197,B000474,B000563,B000570,B000739,B000929,C000369,C000497,C000572,D000069,F000313,G000286,G000427,G000526,H000508,H000618,H000661,H000841,H000982,J000005,L000067,L000115,L000120,L000364,L000377,M000155,M000166,M000226,N000142,P000026,P000354,R000092,R000448,R000550,S000154,S000222,S000524,S000941,T000052,T000107,T000264,T000348,V000104,W000202,W000287,date,isAmendment,requires,result,title,billTitle,committee,officialTitle,sponsor
Yea,Not Voting,Yea,,,Not Voting,Yea,,,Yea,Yea,Yea,Yea,Not Voting,,Yea,,Yea,Not Voting,,Yea,Yea,Yea,Nay,Not Voting,Yea,Yea,Not Voting,,Yea,,Yea,Yea,,,Not Voting,Yea,Yea,Not Voting,Not Voting,,Nay,,Yea,Not Voting,1798-12-24,0,,unknown,,,,,
Yea,Not Voting,Yea,,,Not Voting,Yea,,,Yea,Yea,Yea,Yea,Not Voting,,Yea,,Yea,Not Voting,,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,,Yea,,Yea,Yea,,,Not Voting,Yea,Yea,Not Voting,Not Voting,,Yea,,Yea,Not Voting,1798-12-24,0,,unknown,,,,,
Yea,Not Voting,Yea,,,Not Voting,Yea,,,Not Voting,Yea,Yea,Yea,Yea,,Yea,,Yea,Yea,,Yea,Not Voting,Nay,Yea,Yea,Yea,Yea,Not Voting,,Yea,,Yea,Nay,,,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,,Yea,,Not Voting,Nay,1798-12-31,0,,unknown,,,,,
Yea,Not Voting,Yea,,,Not Voting,Yea,,,Yea,Yea,Yea,Yea,Yea,,Yea,,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,,Yea,,Yea,Yea,,,Not Voting,Not Voting,Yea,Not Voting,Not Voting,,Yea,,Yea,Nay,1799-01-03,0,,unknown,,,,,
Nay,Nay,Nay,,,Nay,Yea,,,Yea,Nay,Yea,Nay,Nay,,Nay,,Nay,Yea,,Nay,Yea,Not Voting,Yea,Yea,Nay,Nay,Nay,,Yea,,Nay,Yea,,,Yea,Not Voting,Yea,Not Voting,Not Voting,,Yea,,Not Voting,Nay,1799-01-10,0,,unknown,,,,,
Yea,Yea,Yea,,,Yea,Nay,,,Nay,Yea,Nay,Yea,Yea,,Yea,,Yea,Yea,,Yea,Nay,Not Voting,Nay,Nay,Yea,Yea,Yea,,Nay,,Yea,Nay,,,Nay,Not Voting,Nay,Not Voting,Not Voting,,Nay,,Not Voting,Yea,1799-01-11,0,,unknown,,,,,
Nay,Yea,Nay,,,Nay,Yea,,,Yea,Not Voting,Yea,Yea,Yea,,Yea,,Yea,Not Voting,,Nay,Yea,Not Voting,Yea,Not Voting,Yea,Nay,Nay,,Yea,,Yea,Yea,,,Yea,Not Voting,Not Voting,Not Voting,Not Voting,,Yea,,Yea,Yea,1799-01-16,0,,unknown,,,,,
Yea,Not Voting,Yea,,,Not Voting,Yea,,,Yea,Yea,Yea,Yea,Yea,,Yea,,Yea,Not Voting,,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,Not Voting,,Yea,,Nay,Yea,,,Yea,Not Voting,Not Voting,Not Voting,Not Voting,,Yea,,Yea,Yea,1799-01-22,0,,unknown,,,,,
Not Voting,Yea,Nay,,,Not Voting,Yea,,,Yea,Yea,Yea,Yea,Yea,,Not Voting,,Yea,Not Voting,,Nay,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,,Yea,,Yea,Yea,,,Yea,Not Voting,Not Voting,Not Voting,Not Voting,,Yea,,Yea,Yea,1799-01-25,0,,unknown,,,,,
Yea,Yea,Yea,,,Yea,Nay,,,Nay,Not Voting,Not Voting,Nay,Nay,,Not Voting,,Nay,Not Voting,,Yea,Nay,Not Voting,Yea,Nay,Yea,Yea,Yea,,Yea,,Nay,Nay,,,Nay,Not Voting,Not Voting,Not Voting,Not Voting,,Nay,,Nay,Yea,1799-01-29,0,,unknown,,,,,
